original,clean_legal_name,search_core_name,predecessor,status,successor,fdic_query_main,fdic_query_pred
Blue Hills Bank,Blue Hills Bank,Blue Hills Bank,,Active,,NAME:*BLUE\ HILLS\ BANK*,
Blue Ridge Bank NA,Blue Ridge Bank NA,Blue Ridge Bank,,Active,,NAME:*BLUE\ RIDGE\ BANK*,
Blue Ridge Farm Credit ACA,Blue Ridge Farm Credit ACA,Blue Ridge Farm Credit ACA,,Active,,NAME:*BLUE\ RIDGE\ FARM\ CREDIT\ ACA*,
BofI Federal Bank,BofI Federal Bank,BofI Federal Bank,,Acquired,,NAME:*BOFI\ FEDERAL\ BANK*,
Bank of Taiwan New York,Bank of Taiwan,Bank of Taiwan,,Active,,NAME:*BANK\ OF\ TAIWAN*,
Bank of Tampa,Bank of Tampa,Bank of Tampa,,Active,,NAME:*BANK\ OF\ TAMPA*,
Bank of Texas NA,Bank of Texas NA,Bank of Texas,,Acquired,,NAME:*BANK\ OF\ TEXAS*,
Bank of The James,Bank of The James,Bank of The James,,Active,,NAME:*BANK\ OF\ THE\ JAMES*,
Bank of Utah,Bank of Utah,Bank of Utah,,Active,,NAME:*BANK\ OF\ UTAH*,
Bank of Virginia,Bank of Virginia,Bank of Virginia,,Acquired,,NAME:*BANK\ OF\ VIRGINIA*,
Banco Sabadell,Banco Sabadell,Banco Sabadell,,Active,,NAME:*BANCO\ SABADELL*,
Banco Safra SA,Banco Safra SA,Banco Safra,,Active,,NAME:*BANCO\ SAFRA*,
Banco Santa Cruz,Banco Santa Cruz,Banco Santa Cruz,,Active,,NAME:*BANCO\ SANTA\ CRUZ*,
Banco Santander (Brasil) SA,Banco Santander (Brasil) SA,Banco Santander Brasil,,Active,,NAME:*BANCO\ SANTANDER\ BRASIL*,
Banco Santander (Brasil) SA [Ex-Banco Santander Central Hispano],Banco Santander (Brasil) SA,Banco Santander Brasil,Banco Santander Central Hispano,Active,,NAME:*BANCO\ SANTANDER\ BRASIL*,NAME:*BANCO\ SANTANDER\ CENTRAL\ HISPANO*
Banco Santander (Brasil) SA [Santander Banespa],Banco Santander (Brasil) SA,Banco Santander Brasil,,Active,,NAME:*BANCO\ SANTANDER\ BRASIL*,
Banco Santander (Mexico) SA,Banco Santander (Mexico) SA,Banco Santander Mexico,,Active,,NAME:*BANCO\ SANTANDER\ MEXICO*,
Banco Santander (Suisse) SA,Banco Santander (Suisse) SA,Banco Santander Suisse,,Active,,NAME:*BANCO\ SANTANDER\ SUISSE*,
Banco Santander Puerto Rico,Banco Santander Puerto Rico,Banco Santander Puerto Rico,,Active,,NAME:*BANCO\ SANTANDER\ PUERTO\ RICO*,
Banco Santander SA,Banco Santander SA,Banco Santander,,Active,,NAME:*BANCO\ SANTANDER*,
Banco Santander SA Hong Kong Branch,Banco Santander SA,Banco Santander,,Active,,NAME:*BANCO\ SANTANDER*,
Banco Santander SA New York,Banco Santander SA,Banco Santander,,Active,,NAME:*BANCO\ SANTANDER*,
Banco Santander SA Singapore,Banco Santander SA,Banco Santander,,Active,,NAME:*BANCO\ SANTANDER*,
Banco Santander SA [Ex-Banco Santander de Negocios SA],Banco Santander SA,Banco Santander,Banco Santander de Negocios SA,Active,,NAME:*BANCO\ SANTANDER*,NAME:*BANCO\ SANTANDER\ DE\ NEGOCIOS\ SA*
Banco Santander SA [Ex-Santander Central Hispano SA],Banco Santander SA,Banco Santander,Santander Central Hispano SA,Active,,NAME:*BANCO\ SANTANDER*,NAME:*SANTANDER\ CENTRAL\ HISPANO\ SA*
Banco Santander SA [ex-Abbey Group Ltd],Banco Santander SA,Banco Santander,Abbey Group Ltd,Active,,NAME:*BANCO\ SANTANDER*,NAME:*ABBEY\ GROUP\ LTD*
Banco Santander SA [ex-Banco Sanctander Central Hispano SA],Banco Santander SA,Banco Santander,Banco Sanctander Central Hispano SA,Active,,NAME:*BANCO\ SANTANDER*,NAME:*BANCO\ SANCTANDER\ CENTRAL\ HISPANO\ SA*
Banco Security SA,Banco Security SA,Banco Security,,Active,,NAME:*BANCO\ SECURITY*,
Banco Supervielle SA,Banco Supervielle SA,Banco Supervielle,,Active,,NAME:*BANCO\ SUPERVIELLE*,
Banco Valencia,Banco Valencia,Banco Valencia,,Acquired,,NAME:*BANCO\ VALENCIA*,
Banco Ve por Mas,Banco Ve por Mas,Banco Ve por Mas,,Active,,NAME:*BANCO\ VE\ POR\ MAS*,
Banco Votorantim SA,Banco Votorantim SA,Banco Votorantim,,Active,,NAME:*BANCO\ VOTORANTIM*,
Banco Weng Hang,Banco Weng Hang,Banco Weng Hang,,Active,,NAME:*BANCO\ WENG\ HANG*,
Banco de Andalucia SA,Banco de Andalucia SA,Banco de Andalucia,,Acquired,,NAME:*BANCO\ DE\ ANDALUCIA*,
Banco de Bogota SA,Banco de Bogota SA,Banco de Bogota,,Active,,NAME:*BANCO\ DE\ BOGOTA*,
Banco de Brazil,Banco do Brasil SA,Banco do Brasil,,Active,,NAME:*BANCO\ DO\ BRASIL*,
Banco de Castilla-La Mancha,Banco de Castilla-La Mancha,Banco de Castilla-La Mancha,,Acquired,,NAME:*BANCO\ DE\ CASTILLALA\ MANCHA*,
Banco de Chile,Banco de Chile,Banco de Chile,,Active,,NAME:*BANCO\ DE\ CHILE*,
Banco de Colombia,Banco de Colombia,Banco de Colombia,,Active,,NAME:*BANCO\ DE\ COLOMBIA*,
Banco de Comercio SA,Banco de Comercio SA,Banco de Comercio,,Active,,NAME:*BANCO\ DE\ COMERCIO*,
BBCN Bank,BBCN Bank,BBCN Bank,,Acquired,,NAME:*BBCN\ BANK*,
Banco Monex SA,Banco Monex SA,Banco Monex,,Active,,NAME:*BANCO\ MONEX*,
Banco Nacional De Mexico SA,Banco Nacional de Mexico SA,Banco Nacional de Mexico,,Active,,NAME:*BANCO\ NACIONAL\ DE\ MEXICO*,
Banco Nacional SA,Banco Nacional SA,Banco Nacional,,Acquired,,NAME:*BANCO\ NACIONAL*,
Banco Nacional Ultramarino SA,Banco Nacional Ultramarino SA,Banco Nacional Ultramarino,,Active,,NAME:*BANCO\ NACIONAL\ ULTRAMARINO*,
Banco Nacional Ultramarino SA [Macau],Banco Nacional Ultramarino SA,Banco Nacional Ultramarino,,Active,,NAME:*BANCO\ NACIONAL\ ULTRAMARINO*,
Banco Nacional de Comercio Exterior SNC,Banco Nacional de Comercio Exterior SNC,Banco Nacional de Comercio Exterior,,Active,,NAME:*BANCO\ NACIONAL\ DE\ COMERCIO\ EXTERIOR*,
Banco Nacional de Credito Imobiliario [BNC] SA,Banco Nacional de Credito Imobiliario SA,Banco Nacional de Credito Imobiliario,,Acquired,,NAME:*BANCO\ NACIONAL\ DE\ CREDITO\ IMOBILIARIO*,
Banco Nacional de Desenvolvimento Econmico e Social,Banco Nacional de Desenvolvimento Econmico e Social,Banco Nacional de Desenvolvimento Econmico e Social,,Active,,NAME:*BANCO\ NACIONAL\ DE\ DESENVOLVIMENTO\ ECONMICO\ E\ SOCIAL*,
Banco Nacional de Mexico,Banco Nacional de Mexico,Banco Nacional de Mexico,,Active,,NAME:*BANCO\ NACIONAL\ DE\ MEXICO*,
Banco Nacional de Obras y Servicios Publicos SNC,Banco Nacional de Obras y Servicios Publicos SNC,Banco Nacional de Obras y Servicios Publicos,,Active,,NAME:*BANCO\ NACIONAL\ DE\ OBRAS\ Y\ SERVICIOS\ PUBLICOS*,
Banco Nacional de Panama,Banco Nacional de Panama,Banco Nacional de Panama,,Active,,NAME:*BANCO\ NACIONAL\ DE\ PANAMA*,
Banco Nacionale Ultramarino,Banco Nacional Ultramarino,Banco Nacional Ultramarino,,Active,,NAME:*BANCO\ NACIONAL\ ULTRAMARINO*,
Banco Occidente,Banco Occidente,Banco Occidente,,Acquired,,NAME:*BANCO\ OCCIDENTE*,
Banco Panama,Banco Panama,Banco Panama,,Active,,NAME:*BANCO\ PANAMA*,
Banco Pastor SA,Banco Pastor SA,Banco Pastor,,Active,,NAME:*BANCO\ PASTOR*,
Banco Patagonia,Banco Patagonia,Banco Patagonia,,Active,,NAME:*BANCO\ PATAGONIA*,
Banco Pichincha,Banco Pichincha,Banco Pichincha,,Active,,NAME:*BANCO\ PICHINCHA*,
Banco Popolare Societa Cooperativa Scrl [BP],Banco Popolare Societa Cooperativa Scrl,Banco Popolare Societa Cooperativa,,Acquired,,NAME:*BANCO\ POPOLARE\ SOCIETA\ COOPERATIVA*,
Banco Popolare Societa Cooperativa Scrl [Ex-Banca Popol di Verona e Novara],Banco Popolare Societa Cooperativa Scrl,Banco Popolare Societa Cooperativa,Banca Popol di Verona e Novara,Acquired,,NAME:*BANCO\ POPOLARE\ SOCIETA\ COOPERATIVA*,NAME:*BANCA\ POPOL\ DI\ VERONA\ E\ NOVARA*
Banco Popolare Societa Cooperativa Scrl [Ex-Banca Popolare di Lodi Scarl],Banco Popolare Societa Cooperativa Scrl,Banco Popolare Societa Cooperativa,Banca Popolare di Lodi Scarl,Acquired,,NAME:*BANCO\ POPOLARE\ SOCIETA\ COOPERATIVA*,NAME:*BANCA\ POPOLARE\ DI\ LODI\ SCARL*
Banco Popolare di Roma SpA,Banco Popolare di Roma SpA,Banco Popolare di Roma,,Acquired,,NAME:*BANCO\ POPOLARE\ DI\ ROMA*,
Banco Popolare di Spoleto,Banco Popolare di Spoleto,Banco Popolare di Spoleto,,Acquired,,NAME:*BANCO\ POPOLARE\ DI\ SPOLETO*,
Banco Popular Dominicano SA,Banco Popular Dominicano SA,Banco Popular Dominicano,,Active,,NAME:*BANCO\ POPULAR\ DOMINICANO*,
Banco Popular Espanol SA,Banco Popular Espanol SA,Banco Popular Espanol,,Acquired,,NAME:*BANCO\ POPULAR\ ESPANOL*,
Banco Popular Inc,Banco Popular Inc,Banco Popular,,Active,,NAME:*BANCO\ POPULAR*,
Banco Popular North America,Banco Popular North America,Banco Popular North America,,Active,,NAME:*BANCO\ POPULAR\ NORTH\ AMERICA*,
Banco Popular de Puerto Rico,Banco Popular de Puerto Rico,Banco Popular de Puerto Rico,,Active,,NAME:*BANCO\ POPULAR\ DE\ PUERTO\ RICO*,
Banco Popular de Puerto Rico New York,Banco Popular de Puerto Rico,Banco Popular de Puerto Rico,,Active,,NAME:*BANCO\ POPULAR\ DE\ PUERTO\ RICO*,
Banco Portugues de Negocios SA [BPN],Banco Portugues de Negocios SA,Banco Portugues de Negocios,,Acquired,,NAME:*BANCO\ PORTUGUES\ DE\ NEGOCIOS*,
Bryn MawrTrust,Bryn Mawr Trust,Bryn Mawr Trust,,Active,,NAME:*BRYN\ MAWR\ TRUST*,
Buckeye State Bank,Buckeye State Bank,Buckeye State Bank,,Active,,NAME:*BUCKEYE\ STATE\ BANK*,
CIT Bank Ltd,CIT Bank Ltd,CIT Bank,,Acquired,,NAME:*CIT\ BANK*,
CIT Group Holdings Inc,CIT Group Holdings Inc,CIT Group Holdings,,Acquired,,NAME:*CIT\ GROUP\ HOLDINGS*,
CIT Group Inc,CIT Group Inc,CIT Group,,Acquired,,NAME:*CIT\ GROUP*,
CTBC Bank Corp (USA),CTBC Bank Corp,CTBC Bank,,Active,,NAME:*CTBC\ BANK*,
CTBC Bank New York,CTBC Bank,CTBC Bank,,Active,,NAME:*CTBC\ BANK*,
Cadence Bank NA,Cadence Bank N.A.,Cadence Bank,,Active,,NAME:*CADENCE\ BANK*,
Burke & Herbert Bank,Burke & Herbert Bank,Burke & Herbert Bank,,Active,,NAME:*BURKE\ HERBERT\ BANK*,
Burling Bank,Burling Bank,Burling Bank,,Active,,NAME:*BURLING\ BANK*,
Busey Bank,Busey Bank,Busey Bank,,Active,,NAME:*BUSEY\ BANK*,
Business Bank of St Louis,Business Bank of St. Louis,Business Bank of St Louis,,Active,,NAME:*BUSINESS\ BANK\ OF\ ST\ LOUIS*,
Byline Bank,Byline Bank,Byline Bank,,Active,,NAME:*BYLINE\ BANK*,
Byling Bank,Byling Bank,Byling Bank,,Active,,NAME:*BYLING\ BANK*,
C3 Bancorp,C3 Bancorp,C3 Bancorp,,Active,,NAME:*C3\ BANCORP*,
CAL Bank,CAL Bank,CAL Bank,,Active,,NAME:*CAL\ BANK*,
CB&S Bank,CB&S Bank,CBS Bank,,Active,,NAME:*CBS\ BANK*,
CBT Bank,CBT Bank,CBT Bank,,Active,,NAME:*CBT\ BANK*,
CBank,CBank,CBank,,Active,,NAME:*CBANK*,
CFBank NA,CFBank N.A.,CFBank,,Active,,NAME:*CFBANK*,
CFG Community Bank,CFG Community Bank,CFG Community Bank,,Active,,NAME:*CFG\ COMMUNITY\ BANK*,
CIB Bank [Central Illinois Bank],CIB Bank,CIB Bank,,Active,,NAME:*CIB\ BANK*,
CIBC Bank USA,CIBC Bank,CIBC Bank,,Active,,NAME:*CIBC\ BANK*,
Capstar Bank,Capstar Bank,Capstar Bank,,Active,,NAME:*CAPSTAR\ BANK*,
Cardinal Bank,Cardinal Bank,Cardinal Bank,,Active,,NAME:*CARDINAL\ BANK*,
Carnegie Bank,Carnegie Bank,Carnegie Bank,,Active,,NAME:*CARNEGIE\ BANK*,
Carolina First Bank,Carolina First Bank,Carolina First Bank,,Acquired,,NAME:*CAROLINA\ FIRST\ BANK*,
Carollton Bank,Carollton Bank,Carollton Bank,,Active,,NAME:*CAROLLTON\ BANK*,
Carrollton Bank,Carrollton Bank,Carrollton Bank,,Active,,NAME:*CARROLLTON\ BANK*,
Carrolton Bank,Carrolton Bank,Carrolton Bank,,Active,,NAME:*CARROLTON\ BANK*,
Comerica Inc,Comerica Inc,Comerica,,Active,,NAME:*COMERICA*,
Comerzbank Aktiengesellschaft New York,Commerzbank Aktiengesellschaft,Commerzbank,,Active,,NAME:*COMMERZBANK*,
Commerce Bancorp Inc,Commerce Bancorp Inc,Commerce Bancorp,,Acquired,,NAME:*COMMERCE\ BANCORP*,
Centier Bank,Centier Bank,Centier Bank,,Active,,NAME:*CENTIER\ BANK*,
Centra Bank,Centra Bank,Centra Bank,,Active,,NAME:*CENTRA\ BANK*,
Central Bank & Trust,Central Bank & Trust,Central Bank & Trust,,Active,,NAME:*CENTRAL\ BANK\ TRUST*,
Central Bank of St Louis,Central Bank of St Louis,Central Bank of St Louis,,Active,,NAME:*CENTRAL\ BANK\ OF\ ST\ LOUIS*,
Central Pacific Bank,Central Pacific Bank,Central Pacific Bank,,Active,,NAME:*CENTRAL\ PACIFIC\ BANK*,
Central State Bank,Central State Bank,Central State Bank,,Active,,NAME:*CENTRAL\ STATE\ BANK*,
Central States Bank,Central States Bank,Central States Bank,,Active,,NAME:*CENTRAL\ STATES\ BANK*,
Centrue Bank,Centrue Bank,Centrue Bank,,Active,,NAME:*CENTRUE\ BANK*,
Centura Bank,Centura Bank,Centura Bank,,Acquired,,NAME:*CENTURA\ BANK*,
Century Bank,Century Bank,Century Bank,,Active,,NAME:*CENTURY\ BANK*,
Certusbank,Certusbank,Certusbank,,Active,,NAME:*CERTUSBANK*,
Chambers Bank,Chambers Bank,Chambers Bank,,Active,,NAME:*CHAMBERS\ BANK*,
Chang Hwa Commercial Bank Los Angeles,Chang Hwa Commercial Bank,Chang Hwa Commercial Bank,,Active,,NAME:*CHANG\ HWA\ COMMERCIAL\ BANK*,
Chang Hwa Commercial Bank Ltd New York,Chang Hwa Commercial Bank Ltd,Chang Hwa Commercial Bank,,Active,,NAME:*CHANG\ HWA\ COMMERCIAL\ BANK*,
Charter One Bank FSB,Charter One Bank FSB,Charter One Bank,,Acquired,,NAME:*CHARTER\ ONE\ BANK*,
Charter One Bank NA,Charter One Bank NA,Charter One Bank,,Acquired,,NAME:*CHARTER\ ONE\ BANK*,
Chase Lincoln First Bank,Chase Lincoln First Bank,Chase Lincoln First Bank,,Acquired,,NAME:*CHASE\ LINCOLN\ FIRST\ BANK*,
Chemical Bank,Chemical Bank,Chemical Bank,,Acquired,,NAME:*CHEMICAL\ BANK*,
Chemung Canal Trust Company,Chemung Canal Trust Company,Chemung Canal Trust,,Active,,NAME:*CHEMUNG\ CANAL\ TRUST*,
Chevy Chase Bank FSB,Chevy Chase Bank FSB,Chevy Chase Bank,,Acquired,,NAME:*CHEVY\ CHASE\ BANK*,
Chiao Tung Bank New York,Chiao Tung Bank,Chiao Tung Bank,,Acquired,,NAME:*CHIAO\ TUNG\ BANK*,
Computershare Trust Co NA,Computershare Trust Co NA,Computershare Trust,,Active,,NAME:*COMPUTERSHARE\ TRUST*,
Concentra Bank,Concentra Bank,Concentra Bank,,Active,,NAME:*CONCENTRA\ BANK*,
Conestoga Bank,Conestoga Bank,Conestoga Bank,,Active,,NAME:*CONESTOGA\ BANK*,
Congressional Bank,Congressional Bank,Congressional Bank,,Active,,NAME:*CONGRESSIONAL\ BANK*,
ConnectOne Bank,ConnectOne Bank,ConnectOne Bank,,Active,,NAME:*CONNECTONE\ BANK*,
Connecticut Green Bank,Connecticut Green Bank,Connecticut Green Bank,,Active,,NAME:*CONNECTICUT\ GREEN\ BANK*,
Carter Bank,Carter Bank,Carter Bank,,Active,,NAME:*CARTER\ BANK*,
Carver Federal Savings Bank,Carver Federal Savings Bank,Carver Federal Savings Bank,,Active,,NAME:*CARVER\ FEDERAL\ SAVINGS\ BANK*,
Carver State Bank,Carver State Bank,Carver State Bank,,Active,,NAME:*CARVER\ STATE\ BANK*,
Cass Commercial Bank,Cass Commercial Bank,Cass Commercial Bank,,Active,,NAME:*CASS\ COMMERCIAL\ BANK*,
Castle Bank,Castle Bank,Castle Bank,,Active,,NAME:*CASTLE\ BANK*,
Cathay Bank,Cathay Bank,Cathay Bank,,Active,,NAME:*CATHAY\ BANK*,
Cathay United Bank Los Angeles,Cathay United Bank,Cathay United Bank,,Active,,NAME:*CATHAY\ UNITED\ BANK*,
Cattaragus Savings Bank,Cattaragus Savings Bank,Cattaragus Savings Bank,,Active,,NAME:*CATTARAGUS\ SAVINGS\ BANK*,
Cattaraugus Community Bank,Cattaraugus Community Bank,Cattaraugus Community Bank,,Active,,NAME:*CATTARAUGUS\ COMMUNITY\ BANK*,
Cedar Rapids Bank & Trust Co,Cedar Rapids Bank & Trust Co,Cedar Rapids Bank & Trust,,Active,,NAME:*CEDAR\ RAPIDS\ BANK\ TRUST*,
Celtic Bank Corp,Celtic Bank Corp,Celtic Bank,,Active,,NAME:*CELTIC\ BANK*,
CenTrust Savings Bank,CenTrust Savings Bank,CenTrust Savings Bank,,Failed,,NAME:*CENTRUST\ SAVINGS\ BANK*,
Centennial Bank,Centennial Bank,Centennial Bank,,Active,,NAME:*CENTENNIAL\ BANK*,
Centennial Bank Holdings Inc,Centennial Bank Holdings Inc,Centennial Bank Holdings,,Active,,NAME:*CENTENNIAL\ BANK\ HOLDINGS*,
CenterState Bank,CenterState Bank,CenterState Bank,,Acquired,,NAME:*CENTERSTATE\ BANK*,
Citi,Citigroup Inc,Citigroup,,Active,,NAME:*CITIGROUP*,
Citibank,Citibank NA,Citibank,,Active,,NAME:*CITIBANK*,
Citibank BIBF,Citibank NA,Citibank,,Active,,NAME:*CITIBANK*,
Citibank NA,Citibank NA,Citibank,,Active,,NAME:*CITIBANK*,
Citibank Texas NA,Citibank NA,Citibank,,Active,,NAME:*CITIBANK*,
Citicorp,Citicorp,Citicorp,,Active,,NAME:*CITICORP*,
Citigroup,Citigroup Inc,Citigroup,,Active,,NAME:*CITIGROUP*,
Citizens & Peoples National Bank,Citizens & Peoples National Bank,Citizens & Peoples National Bank,,Active,,NAME:*CITIZENS\ PEOPLES\ NATIONAL\ BANK*,
Citizens Bank & Trust Co of Paducah,Citizens Bank & Trust Co,Citizens Bank & Trust,,Active,,NAME:*CITIZENS\ BANK\ TRUST*,
Citizens Bank & Trust Company,Citizens Bank & Trust Company,Citizens Bank & Trust,,Active,,NAME:*CITIZENS\ BANK\ TRUST*,
Citizens Bank NA,Citizens Bank NA,Citizens Bank,,Active,,NAME:*CITIZENS\ BANK*,
Citizens Bank of Clovis,Citizens Bank,Citizens Bank,,Active,,NAME:*CITIZENS\ BANK*,
Citizens Bank of Connecticut,Citizens Bank,Citizens Bank,,Active,,NAME:*CITIZENS\ BANK*,
Citizens Bank of Kentucky,Citizens Bank,Citizens Bank,,Active,,NAME:*CITIZENS\ BANK*,
Citizens Bank of Las Cruces,Citizens Bank,Citizens Bank,,Active,,NAME:*CITIZENS\ BANK*,
Caja de Badajoz,Caja de Badajoz,Caja de Badajoz,,Acquired,,NAME:*CAJA\ DE\ BADAJOZ*,
Caja de Canarias,Caja de Canarias,Caja de Canarias,,Acquired,,NAME:*CAJA\ DE\ CANARIAS*,
Caja de Galicia,Caja de Galicia,Caja de Galicia,,Acquired,,NAME:*CAJA\ DE\ GALICIA*,
Caja de Granada,Caja de Granada,Caja de Granada,,Acquired,,NAME:*CAJA\ DE\ GRANADA*,
Caja de Salamanca,Caja de Salamanca,Caja de Salamanca,,Acquired,,NAME:*CAJA\ DE\ SALAMANCA*,
Caja de Segovia SA,Caja de Segovia SA,Caja de Segovia,,Acquired,,NAME:*CAJA\ DE\ SEGOVIA*,
Caja de ahorros de Tarragona,Caja de ahorros de Tarragona,Caja de ahorros de Tarragona,,Acquired,,NAME:*CAJA\ DE\ AHORROS\ DE\ TARRAGONA*,
Caja de la Rioja SA,Caja de la Rioja SA,Caja de la Rioja,,Acquired,,NAME:*CAJA\ DE\ LA\ RIOJA*,
CajaSur [Caja de Ahorros y Monte de Piedad de Cordoba SA],CajaSur,CajaSur,Caja de Ahorros y Monte de Piedad de Cordoba SA,Acquired,,NAME:*CAJASUR*,NAME:*CAJA\ DE\ AHORROS\ Y\ MONTE\ DE\ PIEDAD\ DE\ CORDOBA\ SA*
CalFirst Bank,CalFirst Bank,CalFirst Bank,,Active,,NAME:*CALFIRST\ BANK*,
California Bank & Trust,California Bank & Trust,California Bank & Trust,,Active,,NAME:*CALIFORNIA\ BANK\ TRUST*,
California Bank of Commerce,California Bank of Commerce,California Bank of Commerce,,Active,,NAME:*CALIFORNIA\ BANK\ OF\ COMMERCE*,
California Commerce Bank,California Commerce Bank,California Commerce Bank,,Active,,NAME:*CALIFORNIA\ COMMERCE\ BANK*,
California First Bank,California First Bank,California First Bank,,Active,,NAME:*CALIFORNIA\ FIRST\ BANK*,
California First National Bancorp,California First National Bancorp,California First National Bancorp,,Active,,NAME:*CALIFORNIA\ FIRST\ NATIONAL\ BANCORP*,
California National Bank,California National Bank,California National Bank,,Active,,NAME:*CALIFORNIA\ NATIONAL\ BANK*,
California United Bank,California United Bank,California United Bank,,Active,,NAME:*CALIFORNIA\ UNITED\ BANK*,
Chiba Bank New York,Chiba Bank,Chiba Bank,,Active,,NAME:*CHIBA\ BANK*,
China Bank Ltd New York Branch,China Bank Ltd,China Bank,,Active,,NAME:*CHINA\ BANK*,
China Construction Bank Corporation New York Branch,China Construction Bank Corporation,China Construction Bank,,Active,,NAME:*CHINA\ CONSTRUCTION\ BANK*,
China Merchants Bank New York,China Merchants Bank,China Merchants Bank,,Active,,NAME:*CHINA\ MERCHANTS\ BANK*,
China Merchants Group Ltd,China Merchants Group Ltd,China Merchants Group,,Active,,NAME:*CHINA\ MERCHANTS\ GROUP*,
Chinatrust Commercial Bank New York,Chinatrust Commercial Bank,Chinatrust Commercial Bank,,Active,,NAME:*CHINATRUST\ COMMERCIAL\ BANK*,
Choice Bank,Choice Bank,Choice Bank,,Active,,NAME:*CHOICE\ BANK*,
Citizens Inc,Citizens Inc,Citizens,,Active,,NAME:*CITIZENS*,
Citizens National Bank,Citizens National Bank,Citizens National Bank,,Active,,NAME:*CITIZENS\ NATIONAL\ BANK*,
Citizens National Bank International,Citizens National Bank International,Citizens National Bank International,,Active,,NAME:*CITIZENS\ NATIONAL\ BANK\ INTERNATIONAL*,
Citizens Security Bank,Citizens Security Bank,Citizens Security Bank,,Active,,NAME:*CITIZENS\ SECURITY\ BANK*,
Citizens Trust,Citizens Trust,Citizens Trust,,Active,,NAME:*CITIZENS\ TRUST*,
Citrus Bank NA,Citrus Bank NA,Citrus Bank,,Active,,NAME:*CITRUS\ BANK*,
Connections Bank,Connections Bank,Connections Bank,,Active,,NAME:*CONNECTIONS\ BANK*,
Consumers National Bank,Consumers National Bank,Consumers National Bank,,Active,,NAME:*CONSUMERS\ NATIONAL\ BANK*,
Continental Bancorp Inc,Continental Bancorp Inc,Continental Bancorp,,Active,,NAME:*CONTINENTAL\ BANCORP*,
Cooperatieve Rabobank UA New York Branch,Cooperatieve Rabobank UA,Cooperatieve Rabobank UA,,Active,,NAME:*COOPERATIEVE\ RABOBANK\ UA*,
Cooperative Centrale Raiffeisen-Boerenleenbank BA [US],Cooperative Centrale Raiffeisen-Boerenleenbank BA,Cooperative Centrale Raiffeisen-Boerenleenbank BA,,Active,,NAME:*COOPERATIVE\ CENTRALE\ RAIFFEISENBOERENLEENBANK\ BA*,
Coppermark Bank,Coppermark Bank,Coppermark Bank,,Active,,NAME:*COPPERMARK\ BANK*,
Cornerstone Bank,Cornerstone Bank,Cornerstone Bank,,Active,,NAME:*CORNERSTONE\ BANK*,
Cornerstone Capital Bank,Cornerstone Capital Bank,Cornerstone Capital Bank,,Active,,NAME:*CORNERSTONE\ CAPITAL\ BANK*,
Cornerstone National Bank & Trust Co,Cornerstone National Bank & Trust Co,Cornerstone National Bank & Trust Co,,Active,,NAME:*CORNERSTONE\ NATIONAL\ BANK\ TRUST\ CO*,
Corporate Capital Trust Inc,Corporate Capital Trust Inc,Corporate Capital Trust,,Active,,NAME:*CORPORATE\ CAPITAL\ TRUST*,
Cortland Savings & Banking Co,Cortland Savings & Banking Co,Cortland Savings & Banking Co,,Active,,NAME:*CORTLAND\ SAVINGS\ BANKING\ CO*,
Cortrust Bank NA,Cortrust Bank NA,Cortrust Bank,,Active,,NAME:*CORTRUST\ BANK*,
Country Club Bank,Country Club Bank,Country Club Bank,,Active,,NAME:*COUNTRY\ CLUB\ BANK*,
Countryside Bank,Countryside Bank,Countryside Bank,,Active,,NAME:*COUNTRYSIDE\ BANK*,
Countrywide Banking Corp,Countrywide Banking Corp,Countrywide Banking,,Acquired,,NAME:*COUNTRYWIDE\ BANKING*,
Crescent Banking Co,Crescent Banking Co,Crescent Banking Co,,Active,,NAME:*CRESCENT\ BANKING\ CO*,
Cross Keys Bank,Cross Keys Bank,Cross Keys Bank,,Active,,NAME:*CROSS\ KEYS\ BANK*,
Cross River Bank,Cross River Bank,Cross River Bank,,Active,,NAME:*CROSS\ RIVER\ BANK*,
CrossFirst Bank,CrossFirst Bank,CrossFirst Bank,,Active,,NAME:*CROSSFIRST\ BANK*,
Crown Bank,Crown Bank,Crown Bank,,Active,,NAME:*CROWN\ BANK*,
Custodial Trust Co,Custodial Trust Co,Custodial Trust Co,,Active,,NAME:*CUSTODIAL\ TRUST\ CO*,
Customers Bank,Customers Bank,Customers Bank,,Active,,NAME:*CUSTOMERS\ BANK*,
DCB Bank,DCB Bank,DCB Bank,,Active,,NAME:*DCB\ BANK*,
Deutsche Bank Trust Co Americas,Deutsche Bank Trust Co Americas,Deutsche Bank Trust Co Americas,,Active,,NAME:*DEUTSCHE\ BANK\ TRUST\ CO\ AMERICAS*,
Deutsche Bank Trust Corp,Deutsche Bank Trust Corp,Deutsche Bank Trust,,Active,,NAME:*DEUTSCHE\ BANK\ TRUST*,
Devon Bank,Devon Bank,Devon Bank,,Active,,NAME:*DEVON\ BANK*,
Dexia Credit Local SA [US],Dexia Credit Local SA,Dexia Credit Local,,Failed,,NAME:*DEXIA\ CREDIT\ LOCAL*,
Diamond Bank,Diamond Bank,Diamond Bank,,Acquired,,NAME:*DIAMOND\ BANK*,
Dime Community Bank,Dime Community Bank,Dime Community Bank,,Active,,NAME:*DIME\ COMMUNITY\ BANK*,
Dime Financial Corp,Dime Financial Corp,Dime Financial,,Active,,NAME:*DIME\ FINANCIAL*,
