original,status,successor,search_query,notes,Found,Match_Count,Match1_Name,Match1_CERT,Match1_RSSD,Match1_Status,Match1_Asset,Match1_State,Match1_Address,Match1_City,Match1_Zip,Match1_SimScore,Match2_Name,Match2_CERT,Match2_RSSD,Match2_Status,Match2_Asset,Match2_State,Match2_Address,Match2_City,Match2_Zip,Match2_SimScore
ANZ Bank (US),Active,ANZ Bank (US),ANZ*Bank*(US)*,"Input 'ANZ Bank (US)' no typos, active US subsidiary of ANZ Group.",True,10,National Exchange Bank and Trust,10044,722544,Active,2919051.0,WI,130 S Main St,Fond Du Lac,54935,0.47,Isabella Bank,1005,74140,Active,2210646.0,MI,139 E Broadway St,Mount Pleasant,48858,0.50
Academy Bank,Active,Academy Bank,Academy*Bank*,"Input 'Academy Bank NA' cleaned (removed NA), active FDIC-insured bank.",True,2,Academy Bank,35559,2919076,Inactive,43419.0,TN,401 Castle Heights Avenue North,Lebanon,37087,1.00,"Academy Bank, National Association",19600,535753,Active,3145221.0,MO,1201 Walnut St,Kansas City,64106,0.57
AgChoice Farm Credit,Active,AgChoice Farm Credit,AgChoice*Farm*Credit*,Active farm credit institution serving Pennsylvania and Maryland.,False,0,,,,,,,,,,,,,,,,,,,,
AgFirst Farm Credit Bank,Active,AgFirst Farm Credit Bank,AgFirst*Farm*Credit*Bank*,Active Farm Credit Bank serving the Southeast US.,False,0,,,,,,,,,,,,,,,,,,,,
Agribank Farm Credit Bank,Active,Agribank Farm Credit Bank,Agribank*Farm*Credit*Bank*,"Input 'Agribank FCB' expanded (FCB→Farm Credit Bank), active Farm Credit Bank.",False,0,,,,,,,,,,,,,,,,,,,,
Agricultural Bank of China New York,Active,Agricultural Bank of China New York,Agricultural*Bank*of*China*New*York*,Active New York branch of Agricultural Bank of China.,False,0,,,,,,,,,,,,,,,,,,,,
Alliance Bank,Active,Alliance Bank,Alliance*Bank*,"Input 'Alliance Bank NA' cleaned (removed NA), active FDIC-insured bank.",True,7,Alliance Bank,10973,166652,Active,760135.0,MN,105 E Lyon Ave,Lake City,55041,1.00,Alliance Bank,11569,176464,Active,1337206.0,TX,100 Jefferson St W,Sulphur Springs,75482,1.00
Ally Bank,Active,Ally Bank,Ally*Bank*,Active online bank and subsidiary of Ally Financial.,True,1,Ally Bank,57803,3284070,Active,180089000.0,UT,200 W Civic Center Dr,Sandy,84070,1.00,,,,,,,,,,
Amalgamated Bank,Active,Amalgamated Bank,Amalgamated*Bank*,Active labor bank founded in 1923.,True,2,Amalgamated Bank,622,661308,Active,8685841.0,NY,275 7th Ave,New York,10001,1.00,Amalgamated Bank of Chicago,903,397531,Active,1299506.0,IL,30 N La Salle St,Chicago,60602,0.74
Amarillo National Bank,Active,Amarillo National Bank,Amarillo*National*Bank*,Active Texas-based community bank.,True,1,Amarillo National Bank,14531,353555,Active,9961105.0,TX,410 S Taylor St,Amarillo,79101,1.00,,,,,,,,,,
Amegy Bank,Active,Amegy Bank,Amegy*Bank*,"Input 'Amegy' expanded to Amegy Bank, active subsidiary of Zions Bancorporation.",True,1,Amegy Bank National Association,24107,676656,Inactive,13866095.0,TX,4400 Post Oak Parkway,Houston,77027,0.53,,,,,,,,,,
Amegy Bank,Active,Amegy Bank,Amegy*Bank*,"Input 'Amegy Bank NA' cleaned (removed NA), active subsidiary of Zions Bancorporation.",True,1,Amegy Bank National Association,24107,676656,Inactive,13866095.0,TX,4400 Post Oak Parkway,Houston,77027,0.53,,,,,,,,,,
Amerant Bank,Active,Amerant Bank,Amerant*Bank*,Active Florida-based bank (formerly Bank of Antigua).,True,1,"Amerant Bank, National Association",22953,83638,Active,10386958.0,FL,220 Alhambra Cir,Coral Gables,33134,0.57,,,,,,,,,,
American AgCredit Agricultural Credit Association,Active,American AgCredit Agricultural Credit Association,American*AgCredit*Agricultural*Credit*Association*,"Input 'American AgCredit ACA' expanded (ACA→Agricultural Credit Association), active farm credit institution.",False,0,,,,,,,,,,,,,,,,,,,,
American AgCredit Production Credit Association,Active,American AgCredit Production Credit Association,American*AgCredit*Production*Credit*Association*,"Input 'American Agcredit PCA' corrected (Agcredit→AgCredit) and expanded (PCA→Production Credit Association), active farm credit institution.",False,0,,,,,,,,,,,,,,,,,,,,
American Bank,Active,American Bank,American*Bank*,"Input 'American Bank NA' cleaned (removed NA), active FDIC-insured bank.",True,10,American Bank,19234,597452,Active,335225.0,LA,1819 N Columbia St,Covington,70433,1.00,American National Bank,19300,660655,Active,5268143.0,NE,8990 W Dodge Rd,Omaha,68114,0.81
American Bank of Missouri,Active,American Bank of Missouri,American*Bank*of*Missouri*,Active Missouri-based community bank.,True,1,American Bank of North Central Missouri,12463,553458,Inactive,46811.0,MO,201 Washington Street,Princeton,64673,0.78,,,,,,,,,,
American National Bank,Active,American National Bank,American*National*Bank*,Active FDIC-insured bank with multiple locations.,True,7,American National Bank,19300,660655,Active,5268143.0,NE,8990 W Dodge Rd,Omaha,68114,1.00,American Express National  Bank,27471,1394676,Active,211134002.0,UT,115 W Towne Ridge Pkwy,Sandy,84070,0.81
American National Bank of Texas,Active,American National Bank of Texas,American*National*Bank*of*Texas*,Active Texas-based community bank.,True,1,The American National Bank of Texas,23474,599764,Active,5534230.0,TX,102 W Moore Ave,Terrell,75160,0.93,,,,,,,,,,
American Savings Bank,Active,American Savings Bank,American*Savings*Bank*,Active Hawaii-based bank (subsidiary of First Hawaiian Bank).,True,2,"American Savings Bank, FSB",32526,54973,Active,8794992.0,HI,300 N Beretania St,Honolulu,96817,0.91,American Trust and Savings Bank,10120,675341,Active,30365.0,IA,309 Mckinley Ave,Lowden,52255,0.81
Bank of Hope,Active,Bank of Hope,Bank*of*Hope*,Input 'Bank of Hope' correct. Active California-based bank.,True,3,Bank of Hope,26610,671464,Active,18501184.0,CA,3200 Wilshire Blvd,Los Angeles,90010,1.00,"Bank of Mount Hope, Inc.",13017,352820,Inactive,124703.0,WV,602 Main Street,Mount Hope,25880,0.80
Bank of Missouri,Active,Bank of Missouri,Bank*of*Missouri*,Input correct. Active Missouri state bank.,True,1,"Bank of Riverside, Missouri",19390,654654,Inactive,9053.0,MO,Highway 71,Riverside,64168,0.76,,,,,,,,,,
Bank of Montreal Chicago,Active,Bank of Montreal Chicago,Bank*of*Montreal*Chicago*,Input correct. Active Chicago branch of Bank of Montreal.,False,0,,,,,,,,,,,,,,,,,,,,
Bank of New York,Acquired,Bank of New York Mellon,(Bank*of*New*York* OR Bank*of*New*York*Mellon*),Input correct. Acquired by Bank of New York Mellon (merged entity).,True,2,Bank of Bermuda (New York) Limited,32715,1412637,Inactive,10898.0,NY,"570 Lexington Avenue, 25th Floor",New York City,10022,0.67,Bankers Trust Company of Central New York,20438,252210,Inactive,,NY,185 Genesee Street,Utica,13501,0.65
Bank of New York Mellon,Active,Bank of New York Mellon,Bank*of*New*York*Mellon*,Input correct. Active global financial institution.,True,2,The Bank of New York Mellon,639,541101,Active,366502000.0,NY,240 E Greenwich St,New York,10007,0.92,"The Bank of New York Mellon Trust Company, National Association",23472,398668,Active,1337285.0,CA,333 S Hope St,Los Angeles,90071,0.62
Bank of North Dakota,Active,Bank of North Dakota,Bank*of*North*Dakota*,Input correct. Active state-owned bank of North Dakota.,True,2,Security First Bank of North Dakota,11519,693952,Active,278953.0,ND,700 Ash Ave,New Salem,58563,0.73,Farmers & Merchants Bank of North Dakota,8640,954158,Active,114209.0,ND,101 Main St N,Tolna,58380,0.68
Bank of Oklahoma,Active,Bank of Oklahoma,Bank*of*Oklahoma*,Input correct. Active Oklahoma-based bank (BOK Financial subsidiary).,True,10,Bank of Oklahoma Grove,16169,285058,Inactive,47429.0,OK,210 South Main Street,Grove,74344,0.84,Bank of Western Oklahoma,4087,175056,Active,442718.0,OK,201 E Broadway Ave,Elk City,73644,0.80
Bank of Oklahoma,Active,Bank of Oklahoma,Bank*of*Oklahoma*,Input 'Bank of Oklahoma NA' cleaned (removed NA). Active.,True,10,Bank of Oklahoma Grove,16169,285058,Inactive,47429.0,OK,210 South Main Street,Grove,74344,0.84,Bank of Western Oklahoma,4087,175056,Active,442718.0,OK,201 E Broadway Ave,Elk City,73644,0.80
Bank of Sun Prairie,Active,Bank of Sun Prairie,Bank*of*Sun*Prairie*,Input correct. Active Wisconsin community bank.,True,1,Bank of Sun Prairie,13565,124344,Active,728560.0,WI,228 E Main St,Sun Prairie,53590,1.00,,,,,,,,,,
Bank of Texas,Active,Bank of Texas,Bank*of*Texas*,Input 'Bank of Texas NA' cleaned (removed NA). Active Comerica subsidiary.,True,2,Bank of Texas,18576,925653,Active,540339.0,TX,306 W Wall St,Midland,79701,1.00,Bank of South Texas,26727,49858,Active,160945.0,TX,1421 E Nolana Ave,Mcallen,78504,0.81
Bank of the West,Acquired,Bank of Montreal,(Bank*of*the*West* OR Bank*of*Montreal*),Input correct. Acquired by Bank of Montreal (2023).,True,3,Bank of the West,26627,859552,Active,809472.0,TX,108 W Northwest Hwy,Grapevine,76051,1.00,Bankers' Bank of the West,23210,732758,Active,412130.0,CO,1099 18th St,Denver,80202,0.73
BankFinancial,Active,BankFinancial,BankFinancial*,Input correct. Active Illinois-based bank.,True,1,"BankFinancial, National Association",28808,454676,Active,1448147.0,IL,21110 Western Ave,Olympia Fields,60461,0.59,,,,,,,,,,
BankPlus,Active,BankPlus,BankPlus*,Input correct. Active Mississippi-based bank.,True,3,BankPlus,5903,121642,Active,7915475.0,MS,202 E Jackson St,Belzoni,39038,1.00,"Bankplus, FSB",30414,171179,Inactive,280327.0,IL,150 South Main St,Morton,61550,0.80
BankUnited,Active,BankUnited,BankUnited*,Input 'BankUnited FSB' cleaned (removed FSB). Active Florida-based bank.,True,2,"BankUnited, FSB",32247,757274,Inactive,13111463.0,FL,255 Alhambra Circle,Coral Gables,33134,0.83,"BankUnited, National Association",58979,3938186,Active,35065427.0,FL,14817 Oak Ln,Miami Lakes,33016,0.53
BankUnited,Active,BankUnited,BankUnited*,Input 'BankUnited Inc' cleaned (removed Inc). Active.,True,2,"BankUnited, FSB",32247,757274,Inactive,13111463.0,FL,255 Alhambra Circle,Coral Gables,33134,0.83,"BankUnited, National Association",58979,3938186,Active,35065427.0,FL,14817 Oak Ln,Miami Lakes,33016,0.53
BankUnited,Active,BankUnited,BankUnited*,Input 'BankUnited NA' cleaned (removed NA). Active.,True,2,"BankUnited, FSB",32247,757274,Inactive,13111463.0,FL,255 Alhambra Circle,Coral Gables,33134,0.83,"BankUnited, National Association",58979,3938186,Active,35065427.0,FL,14817 Oak Ln,Miami Lakes,33016,0.53
Bankers Trust,Acquired,Deutsche Bank,(Bankers*Trust* OR Deutsche*Bank*),Input 'Bankers Trust Co' cleaned (removed Co). Acquired by Deutsche Bank (1999).,True,3,Bankers Trust Company,953,811046,Active,7492735.0,IA,453 7th St,Des Moines,50309,1.00,Deutsche Bank Trust Company Americas,623,214807,Active,40293000.0,NY,1 Columbus Cir,New York,10019,0.49
Bankwell Financial Group,Active,Bankwell Financial Group,Bankwell*Financial*Group*,Input correct. Active bank holding company (parent of Bankwell Bank).,False,0,,,,,,,,,,,,,,,,,,,,
Banner Bank,Active,Banner Bank,Banner*Bank*,Input correct. Active Washington-based bank.,True,3,Banner Bank,28489,352772,Active,16556018.0,WA,10 S 1st Ave,Walla Walla,99362,1.00,Banner Capital Bank,19274,275255,Active,360304.0,NE,205 State St,Harrisburg,69345,0.73
Bar Harbor Bank & Trust,Active,Bar Harbor Bank & Trust,Bar*Harbor*Bank*&*Trust*,Input correct. Active Maine community bank.,True,1,Bar Harbor Bank & Trust,11971,522605,Active,4710816.0,ME,82 Main St,Bar Harbor,04609,1.00,,,,,,,,,,
Beal Bank SSB,Active,Beal Bank SSB,Beal*Bank*SSB*,Input 'Beal Bank SSB' (no typos/acronyms). Active state savings bank.,False,0,,,,,,,,,,,,,,,,,,,,
Bell Bank,Active,Bell Bank,Bell*Bank*,Active regional bank based in North Dakota.,True,2,Bell Bank,19581,929352,Active,14135435.0,ND,520 Main Ave,Fargo,58103,1.00,Bellevue State Bank,14415,178244,Active,171646.0,IA,200 S 2nd St,Bellevue,52031,0.64
Belmont Bank & Trust,Active,Belmont Bank & Trust,Belmont*Bank*&*Trust*,Active community bank in Illinois.,True,1,Belmont Bank & Trust Company,58165,3391718,Active,993573.0,IL,8250 W Belmont Ave,Chicago,60634,1.00,,,,,,,,,,
Berkshire Bank,Acquired,M&T Bank,(Berkshire*Bank* OR M&T*Bank*),"Acquired by People's United, merged into M&T Bank (2022).",True,4,Berkshire Bank,23621,473501,Inactive,12027717.0,MA,24 North St,Pittsfield,01201,1.00,Berkshire Bank & Trust Company,11801,102203,Inactive,223519.0,MA,54 North Street,Pittsfield,01201,0.80
Boston Private Bank & Trust,Acquired,First Citizens Bank,(Boston*Private*Bank*&*Trust* OR First*Citizens*Bank*),"Acquired by SVB (2021), then SVB assets acquired by First Citizens (2023).",True,7,First-Citizens Bank & Trust Company,11063,491224,Active,233167000.0,NC,239 Fayetteville St,Raleigh,27601,0.59,First Citizens Community Bank,7593,978118,Active,3051688.0,PA,15 S Main St,Mansfield,16933,0.38
Boston Private Financial Holdings,Acquired,First Citizens Bank,(Boston*Private*Financial*Holdings* OR First*Citizens*Bank*),"Parent company acquired by SVB, now part of First Citizens.",True,7,First-Citizens Bank & Trust Company,11063,491224,Active,233167000.0,NC,239 Fayetteville St,Raleigh,27601,0.28,First Citizens Community Bank,7593,978118,Active,3051688.0,PA,15 S Main St,Mansfield,16933,0.20
Bremer Bank,Active,Bremer Bank,Bremer*Bank*,Input 'Bremer Bank NA' cleaned (removed NA). Active regional bank.,True,10,"Bremer Bank, National Association",12923,800657,Inactive,16414076.0,MN,372 Saint Peter St,Saint Paul,55102,0.55,"Bremer Bank, National Association",2055,995450,Inactive,1006333.0,ND,3100 South Columbia Road,Grand Forks,58201,0.55
Bridge Bank,Active,Bridge Bank,Bridge*Bank*,Input 'Bridge Bank NA' cleaned (removed NA). Active division of Western Alliance.,True,3,Bridgewater Bank,58210,3378773,Active,5350634.0,MN,4450 Excelsior Blvd,Saint Louis Park,55416,0.81,Bridge City State Bank,18155,43959,Active,261646.0,TX,701 W Round Bunch Rd,Bridge City,77611,0.67
Broadway Bank,Active,Broadway Bank,Broadway*Bank*,Active community bank in Texas.,True,10,Broadway Bank,22853,268734,Inactive,1059194.0,IL,5960 North Broadway,Chicago,60660,1.00,Broadway National Bank,15797,474254,Active,5809928.0,TX,1177 Ne Loop 410,San Antonio,78209,0.81
Bryant Bank,Active,Bryant Bank,Bryant*Bank*,Active regional bank in Alabama.,True,2,Bryant Bank,57997,3356191,Active,2684362.0,AL,1550 Mcfarland Blvd N,Tuscaloosa,35406,1.00,Bryant State Bank,6064,82257,Active,52039.0,SD,124 Main St W,Bryant,57221,0.79
Burlington Bank,Active,Burlington Bank,Burlington*Bank*,Input 'Burling Bank' corrected (typo: added 'ton'). Active community bank.,True,6,Burlington Bank,9261,467135,Inactive,44747.0,IL,Main Street,Burlington,60109,1.00,Burlington County Bank,27187,1167852,Inactive,80471.0,NJ,1660 Beverly Road,Burlington,08016,0.88
Busey Bank,Active,Busey Bank,Busey*Bank*,Active regional bank in Illinois.,True,6,Busey Bank,16450,416245,Active,18137534.0,IL,100 W University Ave,Champaign,61820,1.00,"Busey Bank, National Association",34642,2623494,Inactive,420075.0,FL,7980 Summerlin Lakes Drive,Fort Myers,33907,0.53
Byline Bank,Active,Byline Bank,Byline*Bank*,Active community bank in Illinois.,True,1,Byline Bank,20624,129732,Active,9791356.0,IL,180 N La Salle St,Chicago,60601,1.00,,,,,,,,,,
California Bank,Active,California Bank,California*Bank*,Input 'CAL Bank' expanded (CAL = California). Active regional bank.,True,4,California Pacific Bank,23242,50461,Active,98226.0,CA,24301 Southland Dr,Hayward,94545,0.79,"California Bank of Commerce, National Association",57044,3076453,Active,4098937.0,CA,12265 El Camino Real,San Diego,92130,0.53
CB&S Bank,Active,CB&S Bank,CB&S*Bank*,Active regional bank in Alabama.,True,1,"CB&S Bank, Inc.",15310,594433,Active,2832355.0,AL,201 Jackson Ave S,Russellville,35653,1.00,,,,,,,,,,
CIBC Bank USA,Active,CIBC Bank USA,CIBC*Bank*USA*,Active subsidiary of Canadian Imperial Bank of Commerce.,True,1,CIBC Bank USA,33306,1842065,Active,61487093.0,IL,120 S La Salle St,Chicago,60603,1.00,,,,,,,,,,
CIT Bank,Acquired,First Citizens Bank,(CIT*Bank* OR First*Citizens*Bank*),Input 'CIT Bank Ltd' cleaned (removed Ltd). Acquired by First Citizens (2022).,True,10,Citizens and Farmers Bank,10363,928421,Active,2686839.0,VA,415 14th Street,West Point,23181,0.48,Citizens State Bank,10474,356239,Active,447664.0,IL,102 W Main St,Lena,61048,0.59
CIT Group,Acquired,First Citizens Bank,(CIT*Group* OR First*Citizens*Bank*),Parent company acquired by First Citizens BancShares (2022).,True,7,First-Citizens Bank & Trust Company,11063,491224,Active,233167000.0,NC,239 Fayetteville St,Raleigh,27601,0.35,First Citizens Community Bank,7593,978118,Active,3051688.0,PA,15 S Main St,Mansfield,16933,0.23
CTBC Bank New York,Active,CTBC Bank New York,CTBC*Bank*New*York*,Active subsidiary of CTBC Bank (Taiwan).,False,0,,,,,,,,,,,,,,,,,,,,
Cadence Bank,Active,Cadence Bank,Cadence*Bank*,Input 'Cadence Bank NA' cleaned (removed NA). Active regional bank.,True,2,Cadence Bank,11813,606046,Active,53282352.0,MS,201 S Spring St,Tupelo,38804,1.00,"Cadence Bank, N.A.",4999,4262534,Inactive,19735912.0,GA,1349 W Peachtree St Nw,Atlanta,30309,1.00
BancFirst,Active,BancFirst,BancFirst*,Input 'BancFirst Corp' cleaned (removed Corp). Active.,True,3,BancFirst,27476,1386251,Active,11860553.0,OK,100 N Broadway Ave,Oklahoma City,73102,1.00,"BancFirst-Austin, National Association",24703,147950,Inactive,25253.0,TX,7300 Mopac Expressway North,Austin,78755,0.43
Banco Bilbao Vizcaya Argentaria (New York),Acquired,PNC Bank,(Banco*Bilbao*Vizcaya*Argentaria*New*York* OR PNC*Bank*),Input 'Banco Bilbao Vizcaya Argentaria (New York)'—acquired by PNC Bank in 2021.,True,10,"PNC Bank, National Association",6384,817824,Active,563953196.0,DE,222 Delaware Ave,Wilmington,19801,0.30,"PNC Bank, Kentucky, Inc.",10513,940348,Inactive,4877290.0,KY,500 West Jefferson Street,Louisville,40202,0.28
Banco Popular,Active,Banco Popular,Banco*Popular*,Input 'Banco Popular Inc' cleaned (removed Inc). Active.,True,10,"Banco Popular, Illinois",1804,213033,Inactive,1070379.0,IL,17th Avenue And Lake Street,Melrose Park,60160,0.74,Banco Popular de Puerto Rico,34968,940311,Active,59601000.0,PR,209 Avenida Luis Munoz Rivera,San Juan,00918,0.63
Banco Popular de Puerto Rico,Active,Banco Popular de Puerto Rico,Banco*Popular*de*Puerto*Rico*,Input 'Banco Popular de Puerto Rico'—active.,True,4,Banco Popular de Puerto Rico,34968,940311,Active,59601000.0,PR,209 Avenida Luis Munoz Rivera,San Juan,00918,1.00,Banco Popular de Puerto Rico,16876,940311,Inactive,18468000.0,PR,209 Munoz Rivera Avenue,San Juan,00918,1.00
Banco Santander New York,Active,"Santander Bank, N.A.",Santander*Bank*New*York*,"Input 'Banco Santander SA New York' cleaned (removed SA). Active (Santander Bank, N.A.).",True,1,Santander National Bank,31162,822172,Inactive,1081813.0,PR,Corner Of Highway #2 & Road 167th,Bayamon,00619,0.55,,,,,,,,,,
BancorpSouth,Acquired,Synovus Bank,(BancorpSouth* OR Synovus*Bank*),Input 'BancorpSouth'—acquired by Synovus Bank in 2021.,True,3,Synovus Bank,873,395238,Active,60332869.0,GA,33 W 14th St.,Columbus,31901,0.25,Synovus Bank,34172,2458119,Inactive,1334461.0,FL,12450 Roosevelt Boulevard North,Saint Petersburg,33716,0.25
BancorpSouth Bank,Acquired,Synovus Bank,(BancorpSouth*Bank* OR Synovus*Bank*),Input 'BancorpSouth Bank'—acquired by Synovus Bank in 2021.,True,3,Synovus Bank,873,395238,Active,60332869.0,GA,33 W 14th St.,Columbus,31901,0.55,Synovus Bank,34172,2458119,Inactive,1334461.0,FL,12450 Roosevelt Boulevard North,Saint Petersburg,33716,0.55
Bangor Savings Bank,Active,Bangor Savings Bank,Bangor*Savings*Bank*,Input 'Bangor Savings Bank'—active.,True,1,Bangor Savings Bank,18408,419406,Active,7290486.0,ME,24 Hamlin Way,Bangor,04401,1.00,,,,,,,,,,
Bank Leumi USA,Active,Bank Leumi USA,Bank*Leumi*USA*,Input 'Bank Leumi USA'—active.,True,1,Bank Leumi USA,19842,101019,Inactive,8202927.0,NY,579 Fifth Avenue,New York,10017,1.00,,,,,,,,,,
Bank OZK,Active,Bank OZK,Bank*OZK*,Input 'Bank OZK'—active.,True,1,Bank OZK,110,107244,Active,41606548.0,AR,18000 Cantrell Rd,Little Rock,72223,1.00,,,,,,,,,,
Bank United,Active,Bank United,Bank*United*,Input 'Bank United'—active.,True,3,Bank United,32640,1363319,Inactive,18646936.0,TX,3200 Southwest Freeway,Houston,77027,1.00,"BankUnited, National Association",58979,3938186,Active,35065427.0,FL,14817 Oak Ln,Miami Lakes,33016,0.51
Bank of Albuquerque,Active,Bank of Albuquerque,Bank*of*Albuquerque*,Input 'Bank of Albuquerque NA' cleaned (removed NA). Active.,True,1,"Bank of Albuquerque, National Association",34992,2727673,Inactive,1903236.0,NM,"201 Third Street, N.W.",Albuquerque,87102,0.68,,,,,,,,,,
Bank of America,Active,Bank of America,Bank*of*America*,Input 'Bank of America'—active.,True,2,"Bank of America, National Association",3510,480228,Active,2651090000.0,NC,100 N Tryon St,Charlotte,28202,0.62,"Bank of America California, National Association",25178,1443266,Active,15015000.0,CA,555 California St,San Francisco,94104,0.51
Bank of America,Active,Bank of America,Bank*of*America*,Input 'Bank of America Corp' cleaned (removed Corp). Active.,True,2,"Bank of America, National Association",3510,480228,Active,2651090000.0,NC,100 N Tryon St,Charlotte,28202,0.62,"Bank of America California, National Association",25178,1443266,Active,15015000.0,CA,555 California St,San Francisco,94104,0.51
Bank of America,Active,Bank of America,Bank*of*America*,Input 'Bank of America NA' cleaned (removed NA). Active.,True,2,"Bank of America, National Association",3510,480228,Active,2651090000.0,NC,100 N Tryon St,Charlotte,28202,0.62,"Bank of America California, National Association",25178,1443266,Active,15015000.0,CA,555 California St,San Francisco,94104,0.51
Bank of Blue Valley,Active,Bank of Blue Valley,Bank*of*Blue*Valley*,Input 'Bank of Blue Valley'—active.,True,2,Bank of Blue Valley,1143,680354,Inactive,1433092.0,KS,11935 Riley St,Overland Park,66213,1.00,Bank of Blue Valley,32722,1421161,Inactive,711622.0,KS,11935 Riley Street,Overland Park,66213,1.00
Bank of California,Active,Bank of California,Bank*of*California*,Input 'Bank of California'—active.,True,3,Bank of Southern California,24267,388070,Inactive,156519.0,CA,1620 Fifth Avenue,San Diego,92138,0.80,"Bank of America California, National Association",25178,1443266,Active,15015000.0,CA,555 California St,San Francisco,94104,0.58
Bank of China LA,Active,Bank of China LA,Bank*of*China*LA*,Input 'Bank of China LA Branch' cleaned (removed Branch). Active.,False,0,,,,,,,,,,,,,,,,,,,,
Bank of China New York,Active,Bank of China New York,Bank*of*China*New*York*,Input 'Bank of China New York'—active.,False,0,,,,,,,,,,,,,,,,,,,,
Bank of Hawaii,Active,Bank of Hawaii,Bank*of*Hawaii*,Input 'Bank of Hawaii'—active.,True,2,Bank of Hawaii,18053,795968,Active,23980457.0,HI,111 S King St,Honolulu,96813,1.00,"Bank of Hawaii  Credit Card, National Association",35458,2881614,Inactive,309705.0,AZ,"1850 North Central Avenue, Suite 400",Phoenix,85004,0.47
Dominion Bank,Active,Dominion Bank,Dominion*Bank*,Input 'Dominion Bank' is active regional bank.,True,10,Dominion Bank,11934,404653,Active,636520.0,TX,17304 Preston Rd,Dallas,75252,1.00,"Dominion Bank of Greater Hampton Roads, National Association",19339,969022,Inactive,932967.0,VA,999 Waterside Drive,Norfolk,23510,0.38
E Sun Commercial Bank,Active,E Sun Commercial Bank,E*Sun*Commercial*Bank*,Input 'E Sun Commercial Bank Los Angeles' cleaned (removed branch 'Los Angeles'). Active.,False,0,,,,,,,,,,,,,,,,,,,,
Eagle Bancorp,Active,Eagle Bancorp,Eagle*Bancorp*,Input 'Eagle Bancorp' active parent of EagleBank.,False,0,,,,,,,,,,,,,,,,,,,,
EagleBank,Active,EagleBank,Eagle*Bank*,Input 'EagleBank' active subsidiary of Eagle Bancorp.,True,8,EagleBank,34742,2652092,Active,10763529.0,MD,7500 Old Georgetown Rd,Bethesda,20814,1.00,Eaglemark Savings Bank,34313,2605566,Active,762258.0,NV,9850 Double R Blvd,Reno,89521,0.58
East West Bank,Active,East West Bank,East*West*Bank*,Input 'East West' expanded to 'East West Bank'. Active.,True,2,East West Bank,31628,197478,Active,79081956.0,CA,135 N Los Robles Ave,Pasadena,91101,1.00,"Eastwest Bank, National Association",22850,541165,Inactive,3754.0,HI,1993 South Kihei Road,Kihei,96753,0.58
East West Bank,Active,East West Bank,East*West*Bank*,Input 'East West Bank' is active.,True,2,East West Bank,31628,197478,Active,79081956.0,CA,135 N Los Robles Ave,Pasadena,91101,1.00,"Eastwest Bank, National Association",22850,541165,Inactive,3754.0,HI,1993 South Kihei Road,Kihei,96753,0.58
Eastern Bank,Active,Eastern Bank,Eastern*Bank*,Input 'Eastern Bank' active MA-based regional bank.,True,5,Eastern Bank,32773,128904,Active,25448467.0,MA,125 High St,Boston,02110,1.00,Eastern Michigan Bank,982,643340,Active,560064.0,MI,65 N Howard Ave,Croswell,48422,0.73
Emigrant Bank,Active,Emigrant Bank,Emigrant*Bank*,Input 'Emigrant Bank' active NY-based bank.,True,2,Emigrant Bank,57083,137915,Active,5800556.0,FL,201 S Biscayne Blvd,Miami,33131,1.00,Emigrant Mercantile Bank,57834,3268173,Active,3493.0,NY,6 E 43rd St,New York,10017,0.70
Emprise Bank,Active,Emprise Bank,Emprise*Bank*,Input 'Emprise Bank NA' cleaned (removed NA). Active KS-based bank.,True,11,Emprise Bank,4789,65858,Active,2677153.0,KS,257 N Broadway Ave,Wichita,67202,1.00,"Emprise Bank, National Association",4698,876054,Inactive,262720.0,KS,20 West Second Street,Hutchinson,67501,0.57
Enterprise Bank & Trust,Active,Enterprise Bank & Trust,Enterprise*Bank*&*Trust*,Input 'Enterprise Bank & Trust Co' cleaned (removed Co). Active MO-based bank.,True,2,Enterprise Bank & Trust,27237,1190476,Active,16378148.0,MO,150 N Meramec Ave,Clayton,63105,1.00,Enterprise Bank & Trust,35446,2855893,Inactive,194030.0,MO,2005 North Burlington,North Kansas City,64116,1.00
Enterprise Bank,Active,Enterprise Bank,Enterprise*Bank*,Input 'Enterprise Bank NA' cleaned (removed NA). Active regional bank.,True,4,Enterprise Bank,33380,1836701,Active,549043.0,NE,525 N 132nd Street,Omaha,68154,1.00,Enterprise Bank & Trust,27237,1190476,Active,16378148.0,MO,150 N Meramec Ave,Clayton,63105,0.81
Equitable Bank,Active,Equitable Bank,Equitable*Bank*,Input 'Equitable Bank' active MD-based regional bank.,True,8,Equitable Bank,31485,81175,Active,504848.0,NE,113 N Locust St,Grand Island,68801,1.00,"Equitable Bank, National Association",1888,757322,Inactive,4344342.0,MD,100 South Charles Street,Baltimore,21203,0.61
Everbank Commercial Finance,Acquired,TIAA Bank,(Everbank*Commercial*Finance* OR TIAA*Bank*),"Input 'Everbank Commercial Finance Inc' cleaned (removed Inc). Acquired 2017, rebranded to TIAA Bank.",True,1,"TIAA-CREF Trust Company, FSB",34723,2716547,Inactive,4815636.0,MO,"211 North Broadway, Suite 1000",Saint Louis,63102,0.19,,,,,,,,,,
